Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,foundationalScore,exerciseTier,isFoundational,classificationTags
Single Arm Kettlebell Squat Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,82,2,False,"compound,full-body,intermediate,kettlebell"
Kettlebell Horn Grip Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,61,2,False,"isolation,kettlebell,novice,upper-body"
Single Arm Kettlebell Bottoms Up Front Rack Carry,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,82,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Bottoms Up Front Rack Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*,85,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Bottoms Up Overhead Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Walking,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,70,2,False,"compound,intermediate,kettlebell,lower-body"
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,70,2,False,"compound,intermediate,kettlebell,lower-body"
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding,78,2,False,"compound,intermediate,kettlebell,upper-body"
Double Kettlebell Single Leg Romanian Deadlift ,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding,80,2,False,"compound,intermediate,kettlebell,lower-body"
Double Kettlebell Romanian Deadlift ,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding,88,2,False,"beginner,compound,kettlebell,lower-body"
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Contralateral,Bodybuilding,78,2,False,"compound,intermediate,kettlebell,lower-body"
Single Arm Kettlebell Bottoms Up Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,65,2,False,"advanced,compound,kettlebell,lower-body"
Parallette Alternating Shoulder Tap Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2.0,None,0,Prone,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics,70,2,False,"compound,intermediate,parallette-bars,upper-body"
Parallette Tuck Planche,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Parallette Bars,2.0,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,63,2,False,"advanced,compound,midsection,parallette-bars"
Parallette Dive Bomber Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2.0,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,73,2,False,"compound,intermediate,parallette-bars,upper-body"
Bodyweight Dive Bomber Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Bodyweight,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,93,1,True,"big-5,bodyweight,compound,intermediate,upper-body"
Parallette L Sit to Tuck Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2.0,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,66,2,False,"compound,expert,midsection,parallette-bars"
Double Dumbbell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Dumbbell,2.0,Bench (Flat),1,Prone,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,91,1,True,"big-5,compound,dumbbell,novice,upper-body"
Landmine Standing Oblique Twist,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,,,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,73,2,False,"compound,intermediate,landmine,midsection"
Cable Rope Tall Kneeling High to Low Chop,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"cable,compound,intermediate,midsection"
Single Arm Parallette Plank,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,1.0,None,0,Prone,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,65,2,False,"compound,intermediate,midsection,parallette-bars"
Single Arm Suspension Plank,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1.0,None,0,Prone,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,65,2,False,"compound,intermediate,midsection,suspension-trainer"
Battle Rope Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,,Battle Ropes,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,71,2,False,"battle-ropes,compound,midsection,novice"
Bodyweight Bird Dog Knee to Elbow,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,Obliques,,Bodyweight,1.0,None,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,Spinal Rotational,,Sagittal Plane,Transverse Plane,,Midsection,Other,Compound,Contralateral,Unsorted*,88,2,False,"beginner,bodyweight,compound,midsection"
Slam Ball Feet Elevated Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Slam Ball,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,73,2,False,"compound,intermediate,midsection,slam-ball"
Medicine Ball Feet Elevated Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,71,2,False,"compound,medicine-ball,midsection,novice"
Double Kettlebell Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Seated Floor,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,81,2,False,"compound,kettlebell,novice,upper-body"
Bodyweight Forearm Plank Knee to Elbow,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,80,2,False,"bodyweight,compound,intermediate,midsection"
Bodyweight Loaded Beast to Alternating Kick Through,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Animal Flow,83,2,False,"bodyweight,compound,intermediate,midsection"
Ring False Grip Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,False Grip,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,68,2,False,"advanced,compound,gymnastic-rings,upper-body"
Double Kettlebell Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,85,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,85,2,False,"compound,full-body,intermediate,kettlebell"
Battle Rope Feet Elevated Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Battle Ropes,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,73,2,False,"battle-ropes,compound,intermediate,midsection"
Superband Dead Bug,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Superband,1.0,None,0,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Unsorted*,66,2,False,"compound,midsection,novice,superband"
Parallette V Sit,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2.0,None,0,V Sit Seated,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,66,2,False,"compound,expert,midsection,parallette-bars"
Barbell Staggered Stance Push Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*,93,1,True,"barbell,big-5,compound,intermediate,upper-body"
Double Kettlebell Push Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,81,2,False,"compound,kettlebell,novice,upper-body"
Double Kettlebell Split Jerk,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*,82,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Clean and Jerk,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,85,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell High Pull,Video Demonstration,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Horizontal Pull,Hip Hinge,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Ballistics,85,2,False,"compound,full-body,intermediate,kettlebell"
Superband Standing Pallof Press,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis,,Superband,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Rotational,,,Frontal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,73,2,False,"beginner,isolation,midsection,superband"
Superband Half Kneeling Pallof Press,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Superband,1.0,None,0,Half Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Rotational,,,Frontal Plane,,,Midsection,Other,Isolation,Unilateral,Unsorted*,63,2,False,"isolation,midsection,novice,superband"
Superband Single Leg Standing Bent Knee Hip External Rotation,,Video Explanation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Superband,1.0,None,0,Single Leg Standing Bent Knee,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*,63,2,False,"isolation,lower-body,novice,superband"
Barbell Prone Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Barbell,1.0,Bench (Flat),1,Prone,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,91,1,True,"barbell,big-5,compound,novice,upper-body"
Double Dumbbell Renegade Row Push Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,,Dumbbell,2.0,None,0,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,Horizontal Push,Anti-Extension,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Bodybuilding,90,1,True,"big-5,compound,dumbbell,intermediate,upper-body"
Single Arm Landmine Row to Rotational Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Push & Pull,Compound,Unilateral,Bodybuilding,72,2,False,"compound,full-body,intermediate,landmine"
Bodyweight Hand Assisted Skater Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1.0,None,0,Single Leg Standing,Single Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics,78,2,False,"bodyweight,compound,lower-body,novice"
Superband Pull Through,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Superband,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*,88,2,False,"beginner,compound,lower-body,superband"
Miniband Quadruped Hip Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Miniband,1.0,None,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding,65,2,False,"beginner,isolation,lower-body,miniband"
Cable Hip Adduction,Video Demonstration,Video Explanation,Novice,Adductors,Adductor Magnus,,,Cable,1.0,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*,58,3,False,"cable,isolation,lower-body,novice"
Superband Tall Kneeling Pallof Press,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Superband,1.0,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Rotational,,,Frontal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,66,2,False,"isolation,midsection,novice,superband"
Slider Eccentric Hamstring Curl,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,2.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*,58,3,False,"beginner,isolation,lower-body,sliders"
Landmine Low Hold Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*,63,2,False,"compound,landmine,lower-body,novice"
Double Kettlebell Sumo Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding,90,1,True,"beginner,big-5,compound,full-body,kettlebell"
Single Arm Dumbbell Cuban Press,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Unsorted*,83,2,False,"compound,dumbbell,novice,upper-body"
Slider Parallette Knee Tuck,,,Novice,Abdominals,Rectus Abdominis,,,Sliders,2.0,Parallette Bars,2,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,61,2,False,"compound,midsection,novice,sliders"
Barbell Reverse Grip Front Raise,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Pectoralis Major,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding,73,2,False,"barbell,intermediate,isolation,upper-body"
Ring Feet Elevated Pike Push Up,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2.0,Bench (Flat),1,Inverted,Double Arm,Continuous,Neutral,No Load,Feet Elevated,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,68,2,False,"advanced,compound,gymnastic-rings,upper-body"
Parallette Straddle Press to Handstand,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2.0,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Calisthenics,71,2,False,"compound,expert,parallette-bars,upper-body"
Ring L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,63,2,False,"advanced,compound,gymnastic-rings,midsection"
Ring Tuck Back Lever with Alternating Single Leg Extensions,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics,60,2,False,"advanced,compound,gymnastic-rings,upper-body"
Ring Tuck Front Lever with Alternating Single Leg Extensions,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics,60,2,False,"advanced,compound,gymnastic-rings,upper-body"
Double Kettlebell Bent Over Row,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,88,2,False,"beginner,compound,kettlebell,upper-body"
Double Kettlebell Bottoms Up Front Rack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,73,2,False,"compound,intermediate,kettlebell,lower-body"
Barbell Back Rack Cyclist Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Slant Board,1,Standing,Double Arm,Continuous,Pronated,Other,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,83,2,False,"barbell,compound,intermediate,lower-body"
Gravity Boots Inverted Crunch,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,Gravity Boots,1,Inverted,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"advanced,bodyweight,compound,midsection"
Double Kettlebell Front Rack Knee Over Toe Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,68,2,False,"compound,kettlebell,lower-body,novice"
Double Kettlebell Overhead Knee Over Toe Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,73,2,False,"compound,intermediate,kettlebell,lower-body"
Barbell Back Rack Box Step Up,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Back Rack,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,80,2,False,"barbell,compound,intermediate,lower-body"
Barbell Front Rack Box Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Front Rack,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,80,2,False,"barbell,compound,intermediate,lower-body"
Barbell Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"advanced,barbell,compound,midsection"
Stability Ball Cable Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball,1.0,Cable,1,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,71,2,False,"compound,midsection,novice,stability-ball"
Miniband Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Miniband,1.0,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,78,2,False,"beginner,compound,lower-body,miniband"
Miniband Knee Hover Quadruped Fire Hydrant,,,Advanced,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1.0,None,0,Knee Hover Quadruped,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip External Rotation,Isometric Hold,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding,60,2,False,"advanced,isolation,lower-body,miniband"
