Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Kettlebell Swing to Alternating Single Arm Waiter Hold,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Waiter Hold,Other,No Elevation,Combo Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Waiter Clean to Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Waiter Hold,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Single Arm Kettlebell Tactical Waiter Clean,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Waiter Hold,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Tactical Waiter Clean to Overhead Press,,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Waiter Hold,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Waiter Clean to Alternating Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Waiter Hold,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Barbell Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Suspension Cuban Press,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,Horizontal Pull,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Suspension Single Leg Standing Bent Knee Cuban Press,,,Intermediate,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Balance
Single Arm Kettlebell Tactical Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Barbell Overhead Knee Over Toe Split Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Barbell Knee Over Toe Split Squat Thruster,,,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Barbell Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Waiter Snatch,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Waiter Hold,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Waiter Clean to Thruster,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Waiter Hold,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Dead Clean,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Single Arm Barbell Bulgarian Split Squat Thruster,,,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Pronated,Overhead,Foot Elevated (Rear),Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Barbell Windmill,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Bodyweight Windmill,Video Demonstration,,Novice,Abdominals,Obliques,,,Bodyweight,1,None,0,Standing,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Superband Split Squat Isometric Pallof Press,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Superband,1,None,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Rotational,Isometric Hold,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Balance
Single Arm Barbell Turkish Get Up,Video Demonstration,,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell,1,None,0,Supine,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Single Arm Barbell Single Leg Standing Bent Knee Contralateral Overhead Press ,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,,Barbell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
Single Arm Barbell Single Leg Standing Bent Knee Ipsilateral Overhead Press,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,,Barbell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Balance
Single Arm Kettlebell Half Kneeling Side Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Rectus Abdominis,,Kettlebell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,Unsorted*,Compound,Unilateral,Grinds
Single Arm Kettlebell Bottoms Up Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Dead Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Dead Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Push Up to L Sit,Video Demonstration,,Expert,Chest,Pectoralis Major,Rectus Abdominis,,Kettlebell,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,None,0,Half Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,None,0,Half Kneeling,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Unsorted*,Other,Compound,Unilateral,Unsorted*
Bodyweight Single Arm Contralateral Single Leg Push Up,Video Demonstration,,Expert,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1,None,0,Prone,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Calisthenics
Single Arm Barbell Overhead Toe Balance Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Toe Balance,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Overhead Toe Balance Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Toe Balance,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Balance
Ring Kneeling Rollout,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Kneeling,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Single Arm Ring Kneeling Rollout,,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,1,None,0,Kneeling,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Ring Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Ring Alternating Single Arm Reach Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Gymnastic Rings,2,None,0,Prone,Double Arm,Alternating,Pronated,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring L Sit Dips,Video Demonstration,,Advanced,Triceps,Triceps Brachii ,Rectus Abdominis,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Bent Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Unsorted*,Push,Compound,Unilateral,Grinds
Alternating Single Arm Kettlebell Around the World High Catch to Squat,,,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Unsorted*,Push,Compound,Unilateral,Unsorted*
Double Kettlebell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Low Switch Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Decline Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,1,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Bulgarian Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Bench (Flat),1,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Otis Up,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Weight Plate,1,None,0,Supine,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,,,Intermediate,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up Horn Grip,Front Rack,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Single Leg Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Single Leg Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Double Kettlebell Bottoms Up Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Single Leg Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Double Kettlebell Clean to Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Kettlebell Half Kneeling Alternating Halo,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,None,0,Half Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Mobility
Kettlebell Tall Kneeling Alternating Halo,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,None,0,Tall Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Mobility
Kettlebell Tall Kneeling Alternating Hip to Halo,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,None,0,Tall Kneeling,Double Arm,Alternating,Bottoms Up Horn Grip,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Mobility
Double Dumbbell Decline Bench Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Chest Fly,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,,,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Decline Bench Chest Fly,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Neutral,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Kettlebell Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
Double Kettlebell Single Leg Standing Bent Knee Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Overhead,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Overhead,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bulgarian Split Squat Thruster ,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Pronated,Overhead,Foot Elevated (Rear),Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Overhead,Foot Elevated (Rear),Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Ring Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,1,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
